Title,Source,Author,Abstract,,Year,Web_Address
Artificial Intelligence and Automation in Human Resource Management,SAGE Journals,,,Workforce Dynamic,,https://journals.sagepub.com/doi/10.1177/15344843231224009
Artificial Intelligence and Business Strategy Towards Digital Transformation: A Research Agenda,ResearchGate,,,Strategic Decision Making,2021,https://www.researchgate.net/publication/349301839_Artificial_Intelligence_and_Business_Strategy_Towards_Digital_Transformation_A_Research_Agenda
Artificial Intelligence and its Impact in International Relations,Journal of Politics and International Affairs,"Meleouni, C., & Efthymiou, I.-P.",AI is reshaping international relations through automation and predictive analytics.,Global Competitiveness ,2023,https://dx.doi.org/10.12681/jpentai.35803
Do digital technologies pay off? A meta-analytic review of the digital era,ScienceDirect,,THIS IS A META ANALYTIC REVIEW,Global Competitiveness ,2023,https://www.sciencedirect.com/science/article/pii/S0166497223001475
"Explainable Artificial Intelligence (XAI): Concepts, Taxonomies, Opportunities and Challenges toward Responsible AI",Information Fusion,"Alejandro Barredo Arrieta, Natalia Díaz Rodríguez, J. Ser, Adrien Bennetot, S. Tabik, A. Barbado, S. García, S. Gil-Lopez, D. Molina, Richard Benjamins, Raja Chatila, Francisco Herrera",,Policy Development,2019,http://arxiv.org/pdf/1910.10045
Global Governance of Artificial Intelligence: Next Steps for Empirical Research,Oxford Academic,,,Policy Development,2023,https://academic.oup.com/isr/article/25/3/viad040/7259354
Global policy and governance in Artificial Intelligence regulation—A holistic view,Springer,,,Policy Development,2024,https://link.springer.com/article/10.1007/s44163-024-00109-4
High-performance medicine: the convergence of human and artificial intelligence,Nature Network Boston,E. Topol,,Innovation & Adaptation ,2019.0,https://gwern.net/doc/ai/nn/2019-topol.pdf
Impact of artificial intelligence on business strategy in emerging markets: A conceptual framework and future research directions,ResearchGate,,,Global Competitiveness ,2022,https://www.researchgate.net/publication/359116734_Impact_of_artificial_intelligence_on_business_strategy_in_emerging_markets_A_conceptual_framework_and_future_research_directions
National Artificial Intelligence Research and Development Strategic Plan 2023 Update,White House,,,Policy Development,22023,https://www.whitehouse.gov/wp-content/uploads/2023/05/National-Artificial-Intelligence-Research-and-Development-Strategic-Plan-2023-Update.pdf
On the current state of combining human and artificial intelligence in organizational decision-making,Springer,,,Strategic Decision Making,2020,https://link.springer.com/article/10.1007/s40685-020-00133-x
